,perplexity,n_iter,n_samples,n_features,n_classes,p_informative,avg_common_neighbors10,avg_common_neighbors40,std_ratios
102,10,1000,100,40,1,100,44.3,56.699999999999996,0.11464749823376393
103,30,300,100,40,1,100,40.099999999999994,54.025,0.10244839136453203
104,30,500,100,40,1,100,42.300000000000004,57.400000000000006,0.10404707254129389
105,30,1000,100,40,1,100,46.4,60.175,0.1051475809177542
106,50,300,100,40,1,100,41.8,63.650000000000006,0.09948882360309547
107,50,500,100,40,1,100,43.8,65.35,0.10398703837752095
108,50,1000,100,40,1,100,44.9,65.425,0.09855859741299478
109,10,300,100,50,1,50,35.699999999999996,49.675000000000004,0.09638839155890226
110,10,500,100,50,1,50,41.5,51.324999999999996,0.10629729058813706
111,10,1000,100,50,1,50,42.699999999999996,50.05,0.1117586478146512
112,30,300,100,50,1,50,40.199999999999996,55.85,0.09172653988571064
113,30,500,100,50,1,50,42.400000000000006,55.49999999999999,0.08851047634974209
114,30,1000,100,50,1,50,44.1,59.099999999999994,0.09482041678333288
115,50,300,100,50,1,50,37.9,58.60000000000001,0.08339564594856283
116,50,500,100,50,1,50,42.699999999999996,61.775000000000006,0.08704431005894726
117,50,1000,100,50,1,50,39.800000000000004,61.12499999999999,0.09151349466379818
118,10,300,100,50,1,75,38.800000000000004,51.425,0.09673225303691634
119,10,500,100,50,1,75,42.9,49.725,0.10254681407334267
120,10,1000,100,50,1,75,43.7,51.1,0.10301873253320987
121,30,300,100,50,1,75,41.0,54.474999999999994,0.09192531050649622
122,30,500,100,50,1,75,46.1,57.824999999999996,0.09087270792044674
123,30,1000,100,50,1,75,44.6,57.925000000000004,0.09739602998247658
124,50,300,100,50,1,75,32.599999999999994,60.025000000000006,0.0857609397007797
125,50,500,100,50,1,75,43.4,61.12499999999999,0.08612933562528176
126,50,1000,100,50,1,75,42.6,62.775000000000006,0.09135194148136215
127,10,300,100,50,1,100,37.9,50.650000000000006,0.09696218520333069
128,10,500,100,50,1,100,40.9,51.7,0.10898561901884525
129,10,1000,100,50,1,100,41.4,54.400000000000006,0.10401891077876084
130,30,300,100,50,1,100,35.699999999999996,54.55,0.08797164757292793
131,30,500,100,50,1,100,43.4,60.324999999999996,0.09562899257576518
132,30,1000,100,50,1,100,45.099999999999994,58.550000000000004,0.09443475917017029
133,50,300,100,50,1,100,33.900000000000006,56.8,0.09964384676981261
134,50,500,100,50,1,100,37.6,63.800000000000004,0.09056901659109076
135,50,1000,100,50,1,100,36.5,64.57499999999999,0.08823805848534468
136,10,300,250,10,1,50,48.2,39.69,0.26326419599208306
137,10,500,250,10,1,50,50.6,43.019999999999996,0.2838393584411903
138,10,1000,250,10,1,50,50.75999999999999,46.54,0.2616658769135659
139,30,300,250,10,1,50,51.2,50.93,0.236216955006847
140,30,500,250,10,1,50,51.07999999999999,52.25,0.24468288065999827
141,30,1000,250,10,1,50,51.16,52.21,0.24439254509011576
142,50,300,250,10,1,50,48.88,51.190000000000005,0.22306679403352891
143,50,500,250,10,1,50,49.36,51.57000000000001,0.23519490324040973
144,50,1000,250,10,1,50,51.47999999999999,52.5,0.2258018662175711
145,10,300,250,10,1,75,48.0,42.43,0.2623565519438754
146,10,500,250,10,1,75,49.32,44.04,0.26113426361123315
147,10,1000,250,10,1,75,49.32,45.199999999999996,0.2640270073195345
