,perplexity,n_iter,n_samples,n_features,n_classes,p_informative,avg_common_neighbors10,avg_common_neighbors40,std_ratios
103,30,300,100,40,1,100,92.69999999999999,97.425,0.0027236593529996653
104,30,500,100,40,1,100,93.9,97.7,0.002696265646414038
105,30,1000,100,40,1,100,93.9,97.65,0.002720219094507577
106,50,300,100,40,1,100,91.1,95.95,0.003394036558440492
107,50,500,100,40,1,100,88.2,96.25,0.0035288777145398797
108,50,1000,100,40,1,100,88.3,96.325,0.003606547062814013
109,10,300,100,50,1,50,95.5,96.4,0.004402800556933447
110,10,500,100,50,1,50,96.0,98.3,0.0029049368407679074
111,10,1000,100,50,1,50,93.39999999999999,92.75,0.006081269385971433
112,30,300,100,50,1,50,89.1,97.32499999999999,0.0030302620929480053
113,30,500,100,50,1,50,93.2,97.7,0.002727619492381009
114,30,1000,100,50,1,50,93.5,97.6,0.0027094730710753834
115,50,300,100,50,1,50,84.00000000000001,95.89999999999999,0.004194760014725638
116,50,500,100,50,1,50,87.3,96.175,0.003470110213067161
117,50,1000,100,50,1,50,87.4,96.25,0.003393253820955597
118,10,300,100,50,1,75,95.39999999999999,98.6,0.0037667094646486247
119,10,500,100,50,1,75,95.3,98.925,0.0026686427534886896
120,10,1000,100,50,1,75,95.3,98.80000000000001,0.002920956562730936
121,30,300,100,50,1,75,92.30000000000001,97.22500000000001,0.0026690883259380266
122,30,500,100,50,1,75,94.39999999999999,97.425,0.002741035393676907
123,30,1000,100,50,1,75,94.0,97.55,0.0027098722262124857
124,50,300,100,50,1,75,67.69999999999999,92.375,0.012971434404575356
125,50,500,100,50,1,75,87.4,96.05,0.0034379964081206276
126,50,1000,100,50,1,75,87.6,96.125,0.0034282833187164095
127,10,300,100,50,1,100,95.1,98.80000000000001,0.003355016503414039
128,10,500,100,50,1,100,95.8,98.625,0.0030476052261650915
129,10,1000,100,50,1,100,95.1,97.575,0.003525342206436618
130,30,300,100,50,1,100,92.2,97.27499999999999,0.0026691542214036
131,30,500,100,50,1,100,94.39999999999999,97.55,0.0026988983988240614
132,30,1000,100,50,1,100,93.80000000000001,97.44999999999999,0.0027339880948226607
133,50,300,100,50,1,100,87.79999999999998,96.075,0.004084140296942535
134,50,500,100,50,1,100,86.19999999999999,96.02499999999999,0.0036395273467752618
135,50,1000,100,50,1,100,88.00000000000001,96.2,0.0034355338069434935
136,10,300,250,10,1,50,95.03999999999999,90.47,0.0042472954097511305
137,10,500,250,10,1,50,95.39999999999999,93.63,0.003473738173959207
138,10,1000,250,10,1,50,95.0,94.28,0.0030104820123076272
139,30,300,250,10,1,50,91.64,91.38,0.0025862702698868476
140,30,500,250,10,1,50,92.16,96.6,0.0019685151700984493
141,30,1000,250,10,1,50,91.4,96.7,0.0019756032938507465
142,50,300,250,10,1,50,78.52,85.75,0.011672702049316098
143,50,500,250,10,1,50,80.84,84.81,0.019894395839740144
144,50,1000,250,10,1,50,80.88,85.42,0.01621230662765454
145,10,300,250,10,1,75,95.39999999999999,95.3,0.003372132802674619
146,10,500,250,10,1,75,95.72,98.4,0.002903388695301162
147,10,1000,250,10,1,75,95.76,98.79,0.0024249956581904888
148,30,300,250,10,1,75,87.47999999999999,69.83,0.007314705181655905
149,30,500,250,10,1,75,83.64,90.15,0.012532281935760971
150,30,1000,250,10,1,75,81.8,89.06,0.015359679474468518
151,50,300,250,10,1,75,77.4,84.97,0.020346134562693702
152,50,500,250,10,1,75,80.32000000000001,84.87,0.020929752470317652
153,50,1000,250,10,1,75,80.47999999999999,85.50999999999999,0.018218139525293168
154,10,300,250,10,1,100,95.32000000000001,96.83999999999999,0.003430588416864514
155,10,500,250,10,1,100,95.44,98.51,0.002902796740542382
156,10,1000,250,10,1,100,95.52,97.57000000000001,0.002608185303957643
157,30,300,250,10,1,100,88.12,77.31,0.005867249438274637
158,30,500,250,10,1,100,84.48,91.69,0.010426109010275221
159,30,1000,250,10,1,100,84.96000000000001,90.60000000000001,0.012621845100440149
160,50,300,250,10,1,100,78.44,87.72999999999999,0.015552640432322044
161,50,500,250,10,1,100,80.32000000000001,83.77000000000001,0.025709238486020528
162,50,1000,250,10,1,100,80.28,84.12,0.022661209570921045
163,10,300,250,20,1,50,95.67999999999999,88.45,0.004865099468194549
164,10,500,250,20,1,50,95.83999999999999,86.64999999999999,0.004516635254910424
165,10,1000,250,20,1,50,95.44,87.02,0.004129608930233416
166,30,300,250,20,1,50,86.83999999999999,76.2,0.006240724277031422
167,30,500,250,20,1,50,84.36,89.01,0.01585098407174575
168,30,1000,250,20,1,50,83.84,88.44,0.015472571113296642
169,50,300,250,20,1,50,79.16000000000001,84.05,0.014297353689316918
170,50,500,250,20,1,50,80.24,85.07000000000001,0.020195757640812863
171,50,1000,250,20,1,50,80.67999999999999,85.45,0.015963873162491468
172,10,300,250,20,1,75,95.16,93.07000000000001,0.0036410978581291717
173,10,500,250,20,1,75,95.39999999999999,96.54,0.003158299380641233
174,10,1000,250,20,1,75,95.39999999999999,95.44,0.0025165176723390345
175,30,300,250,20,1,75,86.28,76.8,0.005898633328156156
176,30,500,250,20,1,75,83.39999999999999,88.36,0.010998165592997341
177,30,1000,250,20,1,75,85.0,89.13,0.01825652846119761
178,50,300,250,20,1,75,78.0,83.64,0.013531175412665528
179,50,500,250,20,1,75,80.64,84.39999999999999,0.021575354911652817
180,50,1000,250,20,1,75,80.44,84.46000000000001,0.019705507978182053
181,10,300,250,20,1,100,95.48,96.66,0.003711776458296628
182,10,500,250,20,1,100,95.64,97.21,0.003381855087567469
183,10,1000,250,20,1,100,95.55999999999999,96.83,0.002910885963384723
184,30,300,250,20,1,100,83.96000000000001,75.59,0.006364097344181448
185,30,500,250,20,1,100,82.8,88.27000000000001,0.013369801092301403
186,30,1000,250,20,1,100,83.6,88.75,0.01304552344995799
187,50,300,250,20,1,100,81.32,85.28999999999999,0.012496939393208837
188,50,500,250,20,1,100,81.28,84.54,0.021615948274503256
189,50,1000,250,20,1,100,80.76,84.49,0.02266745042660708
190,10,300,250,30,1,50,95.67999999999999,96.58,0.0036571734564839324
191,10,500,250,30,1,50,95.36,97.10000000000001,0.003535546962076662
192,10,1000,250,30,1,50,95.60000000000001,96.11000000000001,0.0032472499865703447
193,30,300,250,30,1,50,86.19999999999999,75.53,0.0061642921385098625
