,perplexity,n_iter,n_samples,n_features,avg_common_neighbors10,avg_common_neighbors40,std_ratios
49,30,300,250,10,87.16,75.94999999999999,0.0062987489726517
50,30,500,250,10,83.56,88.35000000000001,0.015988536704734792
51,30,1000,250,10,84.76000000000002,90.07,0.012820861734980607
52,50,300,250,10,79.0,85.03,0.010566318433720742
53,50,500,250,10,80.80000000000001,85.13999999999999,0.016878848528240033
54,50,1000,250,10,80.67999999999999,85.11,0.016789031208658732
55,10,300,250,20,95.19999999999999,94.83,0.003579282302485613
56,10,500,250,20,95.32000000000001,98.38,0.0028629943895924197
57,10,1000,250,20,95.48,97.78999999999999,0.0025267395805748374
58,30,300,250,20,84.16,74.18,0.0069072369182658876
59,30,500,250,20,83.6,89.29,0.011928034297502766
60,30,1000,250,20,83.91999999999999,89.77999999999999,0.010529269172261605
61,50,300,250,20,79.52,83.9,0.012211081816785803
62,50,500,250,20,80.64,85.16999999999999,0.016566511360769802
63,50,1000,250,20,81.35999999999999,86.48,0.011332403692290167
64,10,300,250,30,95.0,96.78999999999999,0.0032661020777844433
65,10,500,250,30,95.07999999999998,98.19000000000001,0.002741878086726156
66,10,1000,250,30,95.60000000000001,98.14999999999999,0.002426979407130186
67,30,300,250,30,86.96,70.78999999999999,0.006941943753767396
68,30,500,250,30,83.84,90.0,0.009475171612624565
69,30,1000,250,30,85.03999999999999,87.92999999999999,0.01211342559221257
70,50,300,250,30,78.92,82.63000000000001,0.012797571359079446
71,50,500,250,30,80.47999999999999,84.36999999999999,0.013701584971134571
72,50,1000,250,30,80.60000000000001,86.69,0.009563858892656771
73,10,300,250,40,95.52,94.61,0.004131348012471244
74,10,500,250,40,96.2,98.07000000000001,0.003029927144387204
75,10,1000,250,40,95.55999999999999,98.10000000000001,0.002130878792630341
76,30,300,250,40,88.44,78.76,0.005717436359699657
77,30,500,250,40,82.15999999999998,85.24,0.012012644646302138
78,30,1000,250,40,82.4,88.61000000000001,0.008936288019210899
79,50,300,250,40,79.84,86.53,0.007467465487032446
80,50,500,250,40,80.24,84.68,0.015489268020832765
81,50,1000,250,40,80.16,84.81,0.014746543060316497
82,10,300,250,50,95.19999999999999,94.88,0.003849871661229748
83,10,500,250,50,95.16,98.48000000000002,0.002783941391077874
84,10,1000,250,50,95.19999999999999,97.16,0.0027315469749616054
85,30,300,250,50,86.8,77.42999999999999,0.0055743873912806165
86,30,500,250,50,83.75999999999999,89.19,0.009035279901289007
87,30,1000,250,50,83.2,88.72,0.009393249441662465
88,50,300,250,50,78.60000000000001,83.91,0.008573318976765172
89,50,500,250,50,80.19999999999999,83.32000000000001,0.01449691648086392
90,50,1000,250,50,80.67999999999999,85.0,0.013073520876964008
91,10,300,500,10,95.12,81.79,0.0033389028477347382
92,10,500,500,10,94.98,88.77000000000001,0.0030081538446455236
93,10,1000,500,10,94.7,88.795,0.0027511450561062056
94,30,300,500,10,93.43999999999998,79.16000000000001,0.002781988408447225
95,30,500,500,10,93.96000000000001,94.35,0.0019759544509409762
96,30,1000,500,10,92.42000000000002,96.02499999999999,0.001456966261200875
97,50,300,500,10,89.76,81.85,0.003643587095573895
98,50,500,500,10,86.52,88.5,0.009590475455596202
99,50,1000,500,10,86.64,89.54,0.009642220419671317
100,10,300,500,20,95.22,73.77,0.003852111618844742
101,10,500,500,20,94.38000000000001,70.93,0.003970802259969828
102,10,1000,500,20,93.97999999999999,72.69,0.0035988906204942467
103,30,300,500,20,93.43999999999998,74.705,0.0028489940074592343
104,30,500,500,20,92.26,93.81,0.0020513117366350144
105,30,1000,500,20,93.28,95.64999999999999,0.00154261600449693
106,50,300,500,20,91.08000000000001,84.895,0.003628154304409484
107,50,500,500,20,86.53999999999999,86.34,0.009141866718929555
108,50,1000,500,20,86.44000000000001,88.71499999999999,0.00904025360280613
109,10,300,500,30,95.19999999999999,74.96000000000001,0.0037284636111984035
110,10,500,500,30,95.0,78.07000000000001,0.003655712255370272
111,10,1000,500,30,93.5,71.17,0.0038326780960869617
112,30,300,500,30,79.96000000000001,68.97999999999999,0.0041484744072384375
113,30,500,500,30,92.34,89.48,0.00241628455852224
114,30,1000,500,30,92.5,94.72,0.0019220763695787315
115,50,300,500,30,90.76,85.05,0.003593774642029256
116,50,500,500,30,85.83999999999999,85.61500000000001,0.008733580562522054
117,50,1000,500,30,86.16,89.0,0.008067544857752223
118,10,300,500,40,95.36,68.445,0.00391494007668575
119,10,500,500,40,93.94,69.10499999999999,0.0038194916857965805
120,10,1000,500,40,94.76,76.98,0.0034355148607369008
121,30,300,500,40,84.68,71.17999999999999,0.003546950817532472
122,30,500,500,40,92.14,89.55,0.002408645422042808
123,30,1000,500,40,92.02,94.42,0.0018928416293216583
124,50,300,500,40,91.89999999999999,84.435,0.0035415043749480557
125,50,500,500,40,86.25999999999999,88.75500000000001,0.007099378934146125
126,50,1000,500,40,87.08,89.69500000000001,0.007024541454349029
127,10,300,500,50,95.41999999999999,67.085,0.004077004981769011
128,10,500,500,50,94.10000000000001,68.7,0.004119952819266364
129,10,1000,500,50,93.85999999999999,72.05,0.004004100638643499
130,30,300,500,50,79.12,68.86,0.0040840880747952495
131,30,500,500,50,92.32,89.36500000000001,0.002452093725598272
132,30,1000,500,50,92.69999999999999,94.23,0.0020158472587431396
133,50,300,500,50,90.76,85.37000000000002,0.0035407294046657274
134,50,500,500,50,86.28,87.25,0.007410517232764645
135,50,1000,500,50,86.35999999999999,89.195,0.006859562417876045
136,10,300,750,10,95.50666666666666,64.76333333333334,0.003223875701637396
137,10,500,750,10,94.38666666666666,66.10333333333334,0.0031410195746686925
138,10,1000,750,10,94.69333333333333,72.61999999999999,0.003066307952815568
139,30,300,750,10,95.29333333333334,96.10666666666667,0.001964176164323007
140,30,500,750,10,94.65333333333334,95.89999999999999,0.0017414447064747875
141,30,1000,750,10,94.60000000000001,95.84666666666666,0.0015210693199025065
142,50,300,750,10,83.84,77.24,0.0034613558264986197
143,50,500,750,10,90.97333333333333,90.88666666666667,0.0018553601039099227
144,50,1000,750,10,90.06666666666666,94.61,0.0013739900583401667
145,10,300,750,20,95.8,70.70666666666668,0.0029031443760985133
146,10,500,750,20,95.39999999999999,72.92666666666666,0.0028516633085419944
147,10,1000,750,20,95.21333333333332,77.17666666666666,0.002613436179689928
148,30,300,750,20,95.32000000000001,92.64333333333333,0.002122899407811105
149,30,500,750,20,95.33333333333334,94.89666666666666,0.00189082766623145
150,30,1000,750,20,94.18666666666667,94.03666666666666,0.0016357415522548692
151,50,300,750,20,91.19999999999999,77.56666666666668,0.0025619985624772833
152,50,500,750,20,91.26666666666668,92.08000000000001,0.0016626358650867837
153,50,1000,750,20,89.8,94.22333333333333,0.0013426951794358179
154,10,300,750,30,95.58666666666667,73.23333333333333,0.00282037898511701
155,10,500,750,30,95.46666666666667,75.78333333333333,0.0027243743943131883
156,10,1000,750,30,94.65333333333334,72.99,0.002633862704727841
157,30,300,750,30,95.58666666666667,93.77333333333333,0.002082025399370519
158,30,500,750,30,95.37333333333333,94.97,0.001885474751274942
159,30,1000,750,30,94.56,93.94333333333333,0.0016260589685070433
160,50,300,750,30,89.88,76.67666666666666,0.002899291965317794
161,50,500,750,30,90.86666666666666,91.58666666666667,0.0016760586025495747
162,50,1000,750,30,90.56,95.29666666666668,0.001239372471868214
163,10,300,750,40,95.44,77.40333333333334,0.002810011384217131
164,10,500,750,40,94.92,77.54666666666668,0.002797488484776856
165,10,1000,750,40,94.90666666666667,77.31666666666666,0.0026600970858358425
166,30,300,750,40,95.32000000000001,91.30666666666667,0.002128877771692574
167,30,500,750,40,95.39999999999999,94.61999999999999,0.002033475423568804
168,30,1000,750,40,94.22666666666666,93.46333333333334,0.0017520229359199648
169,50,300,750,40,81.09333333333333,71.11,0.0033957419485297546
