,perplexity,n_iter,n_samples,n_features,avg_common_neighbors10,avg_common_neighbors40,std_ratios
42,30,1000,100,50,40.599999999999994,53.65,0.07044757835546113
43,50,300,100,50,32.2,56.425000000000004,0.06577452737166854
44,50,500,100,50,36.0,57.699999999999996,0.06910185765347802
45,50,1000,100,50,37.4,57.95,0.07066437382524735
46,10,300,250,10,49.08,35.58,0.15931265515997486
47,10,500,250,10,52.160000000000004,37.47,0.1723884487569706
48,10,1000,250,10,52.6,37.330000000000005,0.1827677036759051
49,30,300,250,10,50.67999999999999,40.96,0.1487436351430551
50,30,500,250,10,52.56000000000001,42.169999999999995,0.16341200486971894
51,30,1000,250,10,52.72,42.94,0.16795423544758525
52,50,300,250,10,48.88,42.59,0.1570056290935506
53,50,500,250,10,52.239999999999995,44.800000000000004,0.16484924181786592
54,50,1000,250,10,51.959999999999994,44.83,0.16303158936928777
55,10,300,250,20,39.08,30.4,0.1052186409298794
56,10,500,250,20,39.68,32.93000000000001,0.11534871101734888
57,10,1000,250,20,39.519999999999996,31.070000000000004,0.11158857075800639
58,30,300,250,20,39.68,36.01,0.10854699371929578
59,30,500,250,20,42.480000000000004,36.17,0.10898163681172973
60,30,1000,250,20,42.08,36.58,0.10765936921307741
61,50,300,250,20,38.800000000000004,37.91,0.10270591614674629
62,50,500,250,20,41.64,38.71,0.11009235142854212
63,50,1000,250,20,39.76,40.0,0.10715845728052839
64,10,300,250,30,35.52,29.09,0.08175177539750164
65,10,500,250,30,36.92,29.369999999999997,0.09442347863748614
66,10,1000,250,30,38.56,29.75,0.09171362380093877
67,30,300,250,30,38.0,31.71,0.08314323219748233
68,30,500,250,30,39.68,33.31,0.08914405369749126
69,30,1000,250,30,40.0,33.57,0.08719333839499334
70,50,300,250,30,37.32,35.67,0.08437430279001297
71,50,500,250,30,37.56,36.62,0.09176531082430846
72,50,1000,250,30,37.32,36.199999999999996,0.08789432492486134
73,10,300,250,40,34.160000000000004,27.82,0.07802817811423661
74,10,500,250,40,37.76,29.549999999999997,0.07987487994398779
75,10,1000,250,40,37.24,27.280000000000005,0.07913130311409959
76,30,300,250,40,36.8,31.120000000000005,0.0744502593829362
77,30,500,250,40,38.32,32.65,0.07733998636942427
78,30,1000,250,40,39.04,32.76,0.07811967898209127
79,50,300,250,40,33.8,33.76,0.07102288637415906
80,50,500,250,40,36.36000000000001,34.75,0.07284470139977324
81,50,1000,250,40,37.72,34.01,0.07523395968936848
82,10,300,250,50,31.320000000000004,26.619999999999997,0.06817121213744785
83,10,500,250,50,34.88,28.660000000000004,0.06719351196999736
84,10,1000,250,50,35.120000000000005,27.749999999999996,0.06448572782351722
85,30,300,250,50,34.08,30.219999999999995,0.0444643206769716
86,30,500,250,50,36.68,30.930000000000003,0.07080186977093327
87,30,1000,250,50,36.760000000000005,31.179999999999996,0.06869525847032643
88,50,300,250,50,33.96,33.809999999999995,0.06526406763166319
89,50,500,250,50,34.72,34.93,0.06789508967545606
90,50,1000,250,50,34.72,34.260000000000005,0.06798349352197651
91,10,300,500,10,45.38,30.219999999999995,0.16251393094283903
92,10,500,500,10,47.12,32.045,0.16963370091255942
93,10,1000,500,10,47.36,32.78,0.16899172579662256
94,30,300,500,10,45.599999999999994,34.705,0.15314934190336116
95,30,500,500,10,48.54,35.88,0.15533547083163973
96,30,1000,500,10,48.64,36.065000000000005,0.15483376050865919
97,50,300,500,10,42.56,36.645,0.1591166293455916
98,50,500,500,10,48.4,37.61,0.16103718827608854
99,50,1000,500,10,48.5,37.614999999999995,0.16072156830045015
100,10,300,500,20,35.14,22.59,0.10614569036232324
101,10,500,500,20,37.54,24.209999999999997,0.11018269833291791
102,10,1000,500,20,36.4,23.205000000000002,0.11106016357315378
103,30,300,500,20,36.480000000000004,28.415000000000003,0.1059007687668823
104,30,500,500,20,38.44,28.725,0.10972659802259795
105,30,1000,500,20,38.580000000000005,27.315,0.10678561314255973
106,50,300,500,20,33.879999999999995,29.415000000000003,0.10501734265183159
107,50,500,500,20,38.14,29.115000000000002,0.10845432180796893
108,50,1000,500,20,37.82,29.485,0.10723406936087765
109,10,300,500,30,34.160000000000004,21.095000000000002,0.0867918418846748
110,10,500,500,30,35.6,21.325,0.08883402252244883
111,10,1000,500,30,35.22,21.259999999999998,0.0901151660594649
112,30,300,500,30,34.260000000000005,24.78,0.08205802565369108
113,30,500,500,30,36.78,24.36,0.08552230459606648
114,30,1000,500,30,36.760000000000005,25.215,0.08642521344605729
115,50,300,500,30,28.98,25.395,0.0781208729984885
116,50,500,500,30,34.34,26.47,0.08577642925776884
117,50,1000,500,30,35.44,27.0,0.0837431616700288
118,10,300,500,40,32.36,20.41,0.07371864836312451
119,10,500,500,40,33.92,20.28,0.0758118664976021
120,10,1000,500,40,34.04,20.16,0.07580973171566482
121,30,300,500,40,30.740000000000002,23.56,0.07401707264654409
122,30,500,500,40,33.96,23.020000000000003,0.07263338603757467
