,perplexity,n_iter,n_samples,n_features,n_classes,p_informative,avg_common_neighbors10,avg_common_neighbors40,std_ratios
37,10,300,100,10,10,100,48.0,54.474999999999994,0.23146980996602257
38,10,1000,100,10,10,100,50.5,55.15,0.25956927712403327
39,50,300,100,10,10,100,41.699999999999996,63.3,0.18156785293641622
40,50,1000,100,10,10,100,48.2,65.55,0.1937198937166373
41,10,300,100,30,2,75,34.4,51.725,0.12622187089682038
42,10,1000,100,30,2,75,43.3,56.025000000000006,0.13002717728357333
43,50,300,100,30,2,75,33.8,55.45,0.11435822678122592
44,50,1000,100,30,2,75,40.800000000000004,64.85000000000001,0.1122471083488136
45,10,300,100,30,2,100,46.5,54.525,0.12610911291890467
46,10,1000,100,30,2,100,48.1,56.35,0.14062870665796265
47,50,300,100,30,2,100,43.099999999999994,65.77499999999999,0.10863050985746624
48,50,1000,100,30,2,100,49.2,66.05000000000001,0.11449793559383392
49,10,300,100,30,4,75,37.1,52.1,0.12204201601019966
50,10,1000,100,30,4,75,42.800000000000004,54.0,0.1354955197092328
51,50,300,100,30,4,75,36.199999999999996,62.3,0.11186410524370625
52,50,1000,100,30,4,75,37.6,63.475,0.11158718215782541
53,10,300,100,30,4,100,40.9,51.349999999999994,0.1335955405610419
54,10,1000,100,30,4,100,43.8,54.400000000000006,0.1287523896617837
55,50,300,100,30,4,100,39.2,59.175,0.1169210689912866
56,50,1000,100,30,4,100,40.400000000000006,63.224999999999994,0.11153204781092368
57,10,300,100,30,5,75,39.800000000000004,50.8,0.12412070989390026
58,10,1000,100,30,5,75,42.9,52.449999999999996,0.13951581304140295
59,50,300,100,30,5,75,39.800000000000004,56.875,0.1119886756062973
60,50,1000,100,30,5,75,42.5,62.55,0.114537894202156
61,10,300,100,30,5,100,38.2,51.300000000000004,0.11979132154288097
62,10,1000,100,30,5,100,40.300000000000004,50.8,0.13716976088843724
63,50,300,100,30,5,100,37.6,59.72500000000001,0.11466464090202258
64,50,1000,100,30,5,100,39.800000000000004,63.349999999999994,0.1101755677097847
65,10,300,100,30,8,75,32.599999999999994,46.900000000000006,0.12988606376578724
66,10,1000,100,30,8,75,41.699999999999996,52.325,0.12622140581325375
67,50,300,100,30,8,75,33.599999999999994,59.550000000000004,0.11756419199224742
68,50,1000,100,30,8,75,40.099999999999994,63.475,0.11068524004278102
69,10,300,100,30,8,100,37.4,49.775000000000006,0.1282728948313476
70,10,1000,100,30,8,100,42.00000000000001,51.449999999999996,0.1327990603851594
71,50,300,100,30,8,100,29.500000000000004,51.775000000000006,0.11465634508964212
72,50,1000,100,30,8,100,35.6,62.575,0.1142344192074551
73,10,300,100,30,10,75,37.3,50.7,0.12030167980788685
74,10,1000,100,30,10,75,40.300000000000004,52.474999999999994,0.12863862665109063
75,50,300,100,30,10,75,39.5,57.775,0.10254953362303983
76,50,1000,100,30,10,75,38.9,63.949999999999996,0.10568892459072396
77,10,300,100,30,10,100,33.900000000000006,53.675,0.1297350376971685
78,10,1000,100,30,10,100,39.1,54.275000000000006,0.12942387690560395
79,50,300,100,30,10,100,32.5,57.699999999999996,0.11430998884311341
80,50,1000,100,30,10,100,36.5,64.35,0.10805302110397724
81,10,300,100,50,2,75,36.199999999999996,50.14999999999999,0.09538878573416246
82,10,1000,100,50,2,75,43.099999999999994,50.37499999999999,0.10210922930239763
83,50,300,100,50,2,75,39.7,58.45,0.08405137702960971
84,50,1000,100,50,2,75,42.1,59.699999999999996,0.09289917320325655
85,10,300,100,50,2,100,34.4,50.224999999999994,0.10228516112097982
86,10,1000,100,50,2,100,41.3,52.449999999999996,0.11061984860101688
87,50,300,100,50,2,100,36.4,58.425000000000004,0.08712655059589429
88,50,1000,100,50,2,100,40.099999999999994,63.025,0.09175129050675095
89,10,300,100,50,4,75,36.7,48.775,0.10055541676849428
90,10,1000,100,50,4,75,39.0,49.400000000000006,0.10844729057879329
91,50,300,100,50,4,75,30.2,53.25,0.09067887300138351
92,50,1000,100,50,4,75,34.5,61.925,0.08912682291064059
93,10,300,100,50,4,100,38.7,50.77499999999999,0.10161194961974342
94,10,1000,100,50,4,100,40.099999999999994,51.225,0.09898564589054566
95,50,300,100,50,4,100,36.3,61.650000000000006,0.08205640957911894
96,50,1000,100,50,4,100,39.800000000000004,61.7,0.08677621334462243
97,10,300,100,50,5,75,32.599999999999994,50.6,0.09922965000889916
98,10,1000,100,50,5,75,38.9,50.075,0.10641051987356952
99,50,300,100,50,5,75,31.1,55.125,0.08782693429374316
100,50,1000,100,50,5,75,36.0,62.575,0.08497111875782105
101,10,300,100,50,5,100,32.9,50.5,0.09454061063060488
102,10,1000,100,50,5,100,41.6,50.14999999999999,0.11008919235191757
103,50,300,100,50,5,100,34.599999999999994,54.0,0.09365854178579627
104,50,1000,100,50,5,100,36.3,60.45,0.09307193146726336
105,10,300,100,50,8,75,35.199999999999996,50.025000000000006,0.09483332045717968
106,10,1000,100,50,8,75,38.4,49.95,0.10081018546243822
